우선순위 기초영단어 1600개 총정리  ,,,,영공카페 http://caf?.naver.com/ilovespeech,,
1204,tower,탑 ,,1254,butter,버터 
1205,strike,"치다,때리다",,1255,lonely,고독한 
1206,airplane,비행기 ,,1256,cage,새장 
1207,midnight,한밤중의 ,,1257,subway,지하철 
1208,basket,바구니 ,,1258,dad,아빠 
1209,blanket,담요 ,,1259,photo,사진 
1210,indeed,정말로 ,,1260,band,밴드 
1211,certain,확실한 ,,1261,manner,방법 
1212,recorder,녹음기 ,,1262,thirsty,목이마른 
1213,volleyball,발리볼(배구) ,,1263,chief,"우두머리,주요한"
1214,stove,스토브 ,,1264,thick,두꺼운 
1215,castle,성 ,,1265,wise,똑똑한 
1216,tunnel,터널 ,,1266,result,결과 
1217,sharp,날카로운,,1267,sunlight,태양빛 
1218,role,역할 ,,1268,kangaroo,캥거루 
1219,helpful,도움이되는,,1269,scenery,풍경 
1220,bookstore,책방 ,,1270,neither,어느편도_아니다
1221,death,죽음 ,,1271,simply,"오직 ,간단히 "
1222,except,_을 제외하고는,,1272,thin,"여윈,얇은"
1223,excellent,우수한 ,,1273,alive,살아있는 
1224,attack,공격 ,,1274,homeroom,홈룸 
1225,enemy,적 ,,1275,noisy,떠들석한 
1226,honor,명예 ,,1276,nation,국가 
1227,remind,생각나게 하다,,1277,fellow,동료 
1228,textbook,교과서 ,,1278,luck,행운 
1229,wool,양털,,1279,downstairs,아래층에 
1230,graduate,졸업하다,,1280,advise,충고하다
1231,painter,화가 ,,1281,serious,"중대한 ,진지한"
1232,potato,감자 ,,1282,ache,아프다 
1233,knock,문을 두드리는 소리 ,,1283,foolish,어리석은 
1234,somebody,누군가 ,,1284,success,성공 
1235,joy,기쁨 ,,1285,abroad,해외로 
1236,anybody,누구라도 ,,1286,visitor,방문자 
1237,goods,상품 ,,1287,Greek,그리스 사람 
1238,couple,커플 ,,1288,energy,에너지 
1239,handsome,잘생긴 ,,1289,upstairs,2층의 
1240,p.m.,오후 . ,,1290,steak,스테이크 
1241,jet,"제트기,분출",,1291,anywhere,어디에도 
1242,disappear,사라지다,,1292,trick,"계략 ,속임수,장난"
1243,rapidly,빠르게 ,,1293,actor,배우 
1244,president,회장 ,,1294,seed,씨 
1245,feed,"기르다,먹을것을 주다",,1295,weight,무게 
1246,gym,체육관,,1296,twinkle,반짝이다
1247,worst,"최악의 ,가장나쁜 ",,1297,happiness,행복 
1248,okay,"승인,좋아",,1298,fool ,바보 
1249,mail,우편 ,,1299,count,"세다,계산하다"
1250,department,부문 ,,1300,sweet,"단,향기로운"
,,,,,,
1301,hammer,망치 ,,1351,fog,안개 
1302,cloth,천 ,,1352,rough,거친 
1303,calendar,달력 ,,1353,enter,들어가다
1304,heat,열 ,,1354,guide,"안내하다,안내자"
1305,till,까지 ,,1355,fry,기름에 튀기다
1306,lip,입술 ,,1356,handkerchief,손수건 
1307,medium,중간,,1357,skin,피부 
1308,wrap,"싸다,포장하다",,1358,stream,"개울,시내"
1309,well-done,잘 익은 ,,1359,track,"작은 길,선로"
1310,truly,정말로 ,,1360,Japan,일본 
1311,Asia,아시아 ,,1361,jewel,보석 
1312,danger,위험 ,,1362,Olympic,올림픽 
1313,earn,벌다,,1363,attract,끌다
1314,marathon,마라톤,,1364,schedule,시간표 
1315,express,표현하다 ,,1365,unusual,"이상한,비범한"
1316,population,인구 ,,1366,human,인간 
1317,pleasure,즐거움 ,,1367,knee,무릎 
1318,unfortunately,불행하게도 ,,1368,French,프랑스 
1319,effect,"결과 ,효과",,1369,manager,매니저 
1320,equal,같은 ,,1370,wagon,마차
1321,wolf,늑대 ,,1371,Pacific,평화로운 
1322,fault,"결점,잘못",,1372,shoot,사격하다
1323,waiter,웨이터 ,,1373,national,국가의
1324,smooth,부드러운 ,,1374,allow,허락하다
1325,kick,차다,,1375,collect,모으다
1326,branch,가지 ,,1376,fix,고정시키다
1327,operator,교환수,,1377,brave,용감한 
1328,local,지방의 ,,1378,dive,잠수하다
1329,according,_에 따라서 ,,1379,barn,헛간 
1330,army,육군 ,,1380,classical,고전의 
1331,bow,"절하다,인사",,1381,examine,조사하다
1332,businessman,사업가,,1382,perfect,완전한 
1333,festival,축제 ,,1383,address,주소 
1334,forever,영원히,,1384,necessary,필요한 
1335,main,중요한 ,,1385,fair,"공평한,맑은"
1336,poem,시 ,,1386,nest,둥지 
1337,kid,아이,,1387,expression,표현 
1338,distance,거리 ,,1388,scientific,과학적인 
1339,prison,형무소 ,,1389,attention,주의 
1340,safety,안전 ,,1390,nor,_도 또한 _않다
1341,community,공동사회 ,,1391,hardly,거의 하지 않는다 
1342,charge,"대가,값,청구하다",,1392,planet,혹성 
1343,flame,불꽃,,1393,pride,"자랑,자존심"
1344,Europe,유럽 ,,1394,hat,모자 
1345,grade,"등급,학년.성적",,1395,nearby,근처에 
1346,Roman,로마의 ,,1396,pleasant,즐거운 
1347,scene,장면 ,,1397,rare,진기한 
1348,absent,결석의 ,,1398,starve,굶어죽다
1349,Japanese,"일본어,일본의",,1399,nature,자연
1350,coast,해안 ,,1400,movement,"동작,행동"
,,,,,,
1401,period,기간 ,,1451,gather,모으다
1402,signal,신호 ,,1452,judge,"재판관,판단하다"
1403,cinema,영화 ,,1453,pour,붓다 
1404,mild,온화한 ,,1454,service,봉사 
1405,search,찾다,,1455,electric,전기의 
1406,experiment,실험,,1456,effort,노력 
1407,silent,조용한 ,,1457,bury,파묻다 
1408,part-time,"파트 타임,아르바이트",,1458,feather,깃털
1409,hobby,취미 ,,1459,quarter,4분의 1
1410,devote,바치다,,1460,force,힘 
1411,fail,실패하다,,1461,attend,출석하다
1412,pop ,대중음악의 ,,1462,junior,"손아래의,후배"
1413,block,덩어리,,1463,shy,수줍어하는
1414,nurse,간호원 ,,1464,suggest,"암시하다,제의하다"
1415,sight,"광경,경치,시력 ",,1465,education,교육 
1416,garage,차고 ,,1466,calm,"고요한,평온한"
1417,female,여성,,1467,social,사회적인 
1418,stomach,위 ,,1468,honest,정직한 
1419,conductor,지휘자 ,,1469,boil,끓다
1420,exchange,"교환,교환하다",,1470,reply,대답 
1421,equipment,장비,,1471,polite,정중한 
1422,magic,마법 ,,1472,temperature,온도 
1423,admire,칭찬하다,,1473,doubt,의심한다 
1424,memorize,기억하다,,1474,avenue,큰거리 
1425,appointment,약속 ,,1475,shock,충격 
1426,invitation,초대 ,,1476,realize,깨닫다
1427,sense,감각 ,,1477,central,중앙의 
1428,crop,수확 ,,1478,capital,"수도,대문자,주요한"
1429,spread,퍼트리다,,1479,correct,고치다
1430,whether,_인지 어떤지,,1480,instance,"예,실례,보기"
1431,applaud,박수갈채를 보내다 ,,1481,delicious,맛있는 
1432,badly,"심하게 ,나쁘게",,1482,goal,"골,목표"
1433,fresh,신선한 ,,1483,hunt,사냥하다
1434,melt,녹다,,1484,powerful,강력한 
1435,pity,동정 ,,1485,fit,"알맞은,어울리다"
1436,sweat,땀 ,,1486,Australian,호주의 
1437,comfortable,기분좋은 ,,1487,continent,대륙 
1438,friendship,우정 ,,1488,path,작은 길 
1439,adventure,모험 ,,1489,exactly,정확히 
1440,etc.,"_등,_따위",,1490,similar,비슷한
1441,freedom,자유 ,,1491,ocean,대양 
1442,fence,"울타리,담",,1492,truth,진실 
1443,France,프랑스 ,,1493,opinion,의견 
1444,common,보통의 ,,1494,loose,느슨한 
1445,huge,거대한 ,,1495,crash,충돌한다 
1446,musical,"음악의,음악적인",,1496,temple,사원 
1447,root,뿌리 ,,1497,instruction,"교육,지시,명령"
1448,charming,매력적인 ,,1498,direction,방향 
1449,bowl,사발,,1499,author,저자 
1450,disease,병 ,,1500,divide,나누다
,,,,,,
1501,unify,통일하다,,1551,tooth,이
1502,share,나누다 ,,1552,successful,성공적인 
1503,trade,무역 ,,1553,cause,원인 
1504,unification,통일 ,,1554,lecture,강의
1505,connect,"잇다,연결하다",,1555,communication,"전달,통신,교통"
1506,relative,친척,,1556,elementary,초보의 
1507,trust,"신용,믿다",,1557,exercise,"운동,연습(문제) "
1508,democracy,민주주의 ,,1558,recently,최근에
1509,silly,어리석은 ,,1559,repair,수리하다
1510,independent,독립의 ,,1560,court,법정 
1511,blossom,"꽃,꽃이피다 ",,1561,proverb,속담 
1512,rub,문지르다 ,,1562,view,관점 
1513,offer,제공하다,,1563,patience,인내 
1514,particular,특별한 ,,1564,progress,진행 
1515,conversation,회화 ,,1565,basic,기본적인 
1516,professor,교수 ,,1566,punish,벌하다
1517,completely,완전하게 ,,1567,refuse,거절하다
1518,succeed,성공하다,,1568,depend,의지하다
1519,sorrow,슬픔 ,,1569,excitement,흥분
1520,bite,물다,,1570,roll,구르다
1521,obey,복종하다 ,,1571,design,설계 
1522,congratulate,축하하다,,1572,various,다양한 
1523,avoid,피하다,,1573,single,"독신의 ,하나의"
1524,congratulation,축하 ,,1574,blame,비난하다
1525,mention,말하다,,1575,satisfy,만족시키다 
1526,accept,"받다,인정하다",,1576,uniform,유니폼 
1527,private,개인의,,1577,public,공공의 
1528,society,사회 ,,1578,courage,용기 
1529,sow,씨를 뿌리다 ,,1579,shame,부끄러움 
1530,solve,"풀다,해결하다",,1580,prefer,더 좋아한다 
1531,choice,선택 ,,1581,skill,"숙련,기술,솜씨"
1532,industry,공업 ,,1582,develop,"발달하다,개발하다"
1533,actually,실제적으로 ,,1583,produce,생산하다
1534,economy,경제 ,,1584,entrance,입구 
1535,curious,호기심이 강한 ,,1585,fear,"두려움,걱정"
1536,spirit,정신 ,,1586,youth,젊음
1537,frankly,솔직히 ,,1587,increase,증가하다
1538,greet,인사하다,,1588,ceremony,"식,의식"
1539,active,활발한 ,,1589,pray,기도하다
1540,furniture,가구 ,,1590,system,"조직,제도,체계"
1541,destroy,파괴하다,,1591,ancestor,선조 
1542,escape,달아나다,,1592,tomb,묘 
1543,extra,여분의 ,,1593,invade,침입하다
1544,invent,발명하다,,1594,respect,"존경,존경하다"
1545,pardon,용서,,1595,circle,원 
1546,waste,낭비하다,,1596,wisdom,지혜 
1547,disappoint,실망시키다,,1597,relax,늦추다
1548,freeze,얼다,,1598,treasure,보물
1549,educate,교육하다,,1599,stretch,잡아늘이다.뻗힘
1550,breathe,호흡하다,,1600,responsible,"책임져야 할, 책임있는"
